data_type,structure_category,tree_category,time_category,prediction_category,size,mse,mape
ood,unseen,all,small,overestimated,471,10.178±7.990,1127.330±180.808
ood,unseen,all,medium,all,1003,6.955±0.977,1.053±0.082
ood,unseen,all,medium,underestimated,901,4.779±0.286,0.797±0.028
ood,unseen,all,medium,overestimated,102,25.943±6.666,3.347±0.689
ood,unseen,all,big,all,7944,6051.017±32.815,0.895±0.010
ood,unseen,all,big,underestimated,7832,6136.313±41.821,0.898±0.009
ood,unseen,all,big,overestimated,112,92.529±53.798,0.755±0.211
ood,unseen,seen,all,all,0,0.000±0.000,0.000±0.000
ood,unseen,seen,all,underestimated,0,0.000±0.000,0.000±0.000
ood,unseen,seen,all,overestimated,0,0.000±0.000,0.000±0.000
ood,unseen,seen,small,all,0,0.000±0.000,0.000±0.000
ood,unseen,seen,small,underestimated,0,0.000±0.000,0.000±0.000
ood,unseen,seen,small,overestimated,0,0.000±0.000,0.000±0.000
ood,unseen,seen,medium,all,0,0.000±0.000,0.000±0.000
ood,unseen,seen,medium,underestimated,0,0.000±0.000,0.000±0.000
ood,unseen,seen,medium,overestimated,0,0.000±0.000,0.000±0.000
ood,unseen,seen,big,all,0,0.000±0.000,0.000±0.000
ood,unseen,seen,big,underestimated,0,0.000±0.000,0.000±0.000
ood,unseen,seen,big,overestimated,0,0.000±0.000,0.000±0.000
